"Energy","Efficiency"
7.042042042042042738e+01,8.870392140458684960e-01
7.063063063063063396e+01,8.870273862820645672e-01
7.084084084084084054e+01,8.870155583286805090e-01
7.105105105105104712e+01,8.870037301921442907e-01
7.126126126126126792e+01,8.869919018786659448e-01
7.147147147147147450e+01,8.869800733942451165e-01
7.168168168168168108e+01,8.869682447446775031e-01
7.189189189189190188e+01,8.869564159355629585e-01
7.210210210210210846e+01,8.869445869723108222e-01
7.231231231231231504e+01,8.869327578601474693e-01
7.252252252252252163e+01,8.869209286041218609e-01
7.273273273273274242e+01,8.869090992091118730e-01
7.294294294294294900e+01,8.868972696798301802e-01
7.315315315315315559e+01,8.868854400208289190e-01
7.336336336336336217e+01,8.868736102365066820e-01
7.357357357357358296e+01,8.868617803311128478e-01
7.378378378378378954e+01,8.868499503087521330e-01
7.399399399399399613e+01,8.868381201733905872e-01
7.420420420420420271e+01,8.868262899288597012e-01
7.441441441441442350e+01,8.868144595788609585e-01
7.462462462462463009e+01,8.868026291269704986e-01
7.483483483483483667e+01,8.867907985766428913e-01
7.504504504504504325e+01,8.867789679312156892e-01
7.525525525525526405e+01,8.867671371939137570e-01
7.546546546546547063e+01,8.867553063678519365e-01
7.567567567567567721e+01,8.867434754560397092e-01
7.588588588588588379e+01,8.867316444613848603e-01
7.609609609609610459e+01,8.867198133866959209e-01
7.630630630630631117e+01,8.867079822346867202e-01
7.651651651651651775e+01,8.866961510079789388e-01
7.672672672672672434e+01,8.866843197091051065e-01
7.693693693693694513e+01,8.866724883405123769e-01
7.714714714714715171e+01,8.866606569045646369e-01
7.735735735735735830e+01,8.866488254035453931e-01
7.756756756756756488e+01,8.866369938396611028e-01
7.777777777777778567e+01,8.866251622150435052e-01
7.798798798798799226e+01,8.866133305317516200e-01
7.819819819819819884e+01,8.866014987917747447e-01
7.840840840840840542e+01,8.865896669970351196e-01
7.861861861861862621e+01,8.865778351493894816e-01
7.882882882882883280e+01,8.865660032506316179e-01
7.903903903903903938e+01,8.865541713024945869e-01
7.924924924924924596e+01,8.865423393066526048e-01
7.945945945945946676e+01,8.865305072647232665e-01
7.966966966966967334e+01,8.865186751782690999e-01
7.987987987987987992e+01,8.865068430487997864e-01
8.009009009009008651e+01,8.864950108777738258e-01
8.030030030030030730e+01,8.864831786666005353e-01
8.051051051051051388e+01,8.864713464166408263e-01
8.072072072072072046e+01,8.864595141292098690e-01
8.093093093093094126e+01,8.864476818055779805e-01
8.114114114114114784e+01,8.864358494469730676e-01
8.135135135135135442e+01,8.864240170545805153e-01
8.156156156156156101e+01,8.864121846295461848e-01
8.177177177177178180e+01,8.864003521729768575e-01
8.198198198198198838e+01,8.863885196859415672e-01
8.219219219219219497e+01,8.863766871694733762e-01
8.240240240240240155e+01,8.863648546245702642e-01
8.261261261261262234e+01,8.863530220521963487e-01
8.282282282282282893e+01,8.863411894532831070e-01
8.303303303303303551e+01,8.863293568287303748e-01
8.324324324324324209e+01,8.863175241794074566e-01
8.345345345345346288e+01,8.863056915061541252e-01
8.366366366366366947e+01,8.862938588097819537e-01
8.387387387387387605e+01,8.862820260910747594e-01
8.408408408408408263e+01,8.862701933507898255e-01
8.429429429429430343e+01,8.862583605896587891e-01
8.450450450450451001e+01,8.862465278083884179e-01
8.471471471471471659e+01,8.862346950076614993e-01
8.492492492492492318e+01,8.862228621881379498e-01
8.513513513513514397e+01,8.862110293504548153e-01
8.534534534534535055e+01,8.861991964952281586e-01
8.555555555555555713e+01,8.861873636230523932e-01
8.576576576576576372e+01,8.861755307345026145e-01
